@relation data_mipa_ipk_over
@attribute JK{L,P}
@attribute JUR{BIO,FISIKA,IF,MTK}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"L","FISIKA","G3","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"L","FISIKA","G4","SD","LL","PS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","FISIKA","G2","SD","LL","PS","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"P","FISIKA","G2","SD","LL","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_M"
"P","FISIKA","G2","SMP","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G3","SMP","LL","PNS","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_CUM"
"P","FISIKA","G4","SMP","PDG","LL","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"L","FISIKA","G4","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"P","FISIKA","G1","LL","LL","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","FISIKA","G3","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","FISIKA","G4","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G3","SRJN","GRD","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_M"
"P","FISIKA","G3","SMTA","LL","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G1","SRJN","GRD","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_SM"
"P","FISIKA","G2","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"L","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","FISIKA","G2","SD","BPN","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_M"
"P","FISIKA","G4","SRJN","GRD","GRD","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"P","FISIKA","G1","SMTA","LL","BPN","SKS1_B","SKS2_SB","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"L","FISIKA","G3","SD","BPN","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_CUM"
"L","FISIKA","G3","SMTA","PDG","PSN","SKS1_B","SKS2_C","IPS1_KM","IPS2_M","IPK_SM"
"P","FISIKA","G4","SRJN","GRD","GRD","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G3","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","FISIKA","G3","SRJN","GRD","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","FISIKA","G2","SD","BPN","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","FISIKA","G1","SD","LL","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_KM","IPK_M"
"P","FISIKA","G2","SD","BPN","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_CUM"
"P","FISIKA","G2","SMP","LL","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","FISIKA","G2","SMP","LL","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G1","SD","BPN","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_CUM"
"P","FISIKA","G4","SRJN","PNS","PSN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"L","FISIKA","G2","LL","LL","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G2","SRJN","LL","PS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_CUM"
"L","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G5","SMTA","PS","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G4","SRJN","GRD","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","FISIKA","G2","SD","LL","BPN","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"L","FISIKA","G4","SRJN","PDG","PDG","SKS1_B","SKS2_SB","IPS1_M","IPS2_M","IPK_SM"
"P","FISIKA","G2","SMTA","PDG","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_SM"
"P","FISIKA","G2","SMTA","PS","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","FISIKA","G3","SMTA","PS","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G4","SMTA","BPN","GRD","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"P","FISIKA","G3","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","FISIKA","G4","SMTA","PNS","LL","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","FISIKA","G5","SRJN","PNS","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G7","SRJN","GRD","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","FISIKA","G4","SMTA","LL","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_SM"
"L","FISIKA","G2","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","FISIKA","G3","SMP","PDG","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G2","SMTA","LL","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","FISIKA","G4","SRJN","GRD","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_CUM"
"L","FISIKA","G6","SMTA","LL","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","FISIKA","G2","SRJN","GRD","GRD","SKS1_B","SKS2_SB","IPS1_M","IPS2_SM","IPK_SM"
"L","FISIKA","G4","SRJN","GRD","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_CUM"
"L","FISIKA","G3","SRJN","PDG","PDG","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","FISIKA","G4","SMTA","LL","GRD","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","FISIKA","G4","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","FISIKA","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G4","SMTA","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","FISIKA","G2","SD","BPN","BPN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_CUM"
"P","FISIKA","G3","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","FISIKA","G3","SMTA","LL","PS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_M","IPK_SM"
"P","FISIKA","G4","SRJN","PNS","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"L","FISIKA","G4","SRJN","PNS","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_M","IPK_SM"
"P","FISIKA","G2","SMP","LL","BPN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"L","FISIKA","G3","SD","LL","BPN","SKS1_B","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_CUM"
"L","MTK","G3","SD","LL","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G2","SMTA","PS","PS","SKS1_C","SKS2_C","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G2","SMP","PDG","PDG","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G1","LL","LL","PDG","SKS1_B","SKS2_C","IPS1_M","IPS2_SM","IPK_SM"
"L","MTK","G1","LL","BPN","BPN","SKS1_B","SKS2_C","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMTA","LL","PNS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_SM"
"L","MTK","G2","SD","LL","PNS","SKS1_B","SKS2_C","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G2","SMTA","LL","GRD","SKS1_B","SKS2_C","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_CUM"
"P","MTK","G2","SD","BPN","BPN","SKS1_C","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_C","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","PNS","PNS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G3","SMTA","PS","GRD","SKS1_B","SKS2_C","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G2","SRJN","GRD","BPN","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G2","SD","BPN","BPN","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"L","MTK","G3","SD","LL","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_SM","IPK_SM"
"P","MTK","G2","SMP","LL","PDG","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"L","MTK","G2","LL","LL","PSN","SKS1_C","SKS2_C","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMP","LL","PNS","SKS1_B","SKS2_C","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","PDG","SKS1_B","SKS2_C","IPS1_SM","IPS2_KM","IPK_SM"
"P","MTK","G2","SMTA","PDG","LL","SKS1_B","SKS2_C","IPS1_M","IPS2_KM","IPK_KM"
"P","MTK","G2","SMP","LL","PSN","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"L","MTK","G1","SD","PDG","PDG","SKS1_B","SKS2_C","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","PNS","SKS1_C","SKS2_C","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMTA","PNS","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G3","SMP","LL","GRD","SKS1_B","SKS2_C","IPS1_SM","IPS2_M","IPK_SM"
"L","MTK","G3","SRJN","GRD","PS","SKS1_K","SKS2_K","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G2","SD","LL","BPN","SKS1_B","SKS2_C","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","PS","SKS1_B","SKS2_C","IPS1_CUM","IPS2_CUM","IPK_CUM"
"P","MTK","G1","SD","LL","BPN","SKS1_K","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","LL","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G3","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"L","MTK","G3","SMP","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","MTK","G1","SD","LL","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G2","LL","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G2","SD","PS","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMP","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G3","LL","PDG","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_M"
"P","MTK","G3","SMTA","PS","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_KM","IPK_SM"
"P","MTK","G1","SMP","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G2","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G2","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"P","MTK","G2","SRJN","GRD","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G2","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","MTK","G4","SMTA","GRD","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G2","LL","BPN","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"P","MTK","G2","SD","BPN","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"L","MTK","G3","SRJN","GRD","GRD","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G4","SMTA","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G1","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"L","MTK","G4","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","MTK","G4","SMP","LL","PS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_CUM"
"P","MTK","G3","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","MTK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G2","SMP","PDG","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G3","SMTA","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G2","SRJN","GRD","LL","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G2","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_M"
"P","MTK","G1","SMTA","PDG","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"L","MTK","G4","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G1","SD","LL","LL","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"L","MTK","G3","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G2","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"L","MTK","G3","SRJN","GRD","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","MTK","G2","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G1","SMP","LL","LL","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G2","SRJN","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G2","SMP","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"L","MTK","G3","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G4","SMTA","PNS","LL","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G1","SMP","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"P","MTK","G1","SMTA","PDG","LL","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","IPK_SM"
"P","MTK","G3","SD","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G2","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","IPK_SM"
"P","MTK","G2","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G1","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G3","SRJN","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"L","MTK","G4","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_CUM","IPK_CUM"
"P","MTK","G3","LL","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G1","LL","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G2","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"L","MTK","G2","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"P","MTK","G2","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","IPK_SM"
"P","MTK","G2","SMP","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G3","SMP","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G1","SRJN","LL","LL","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","IPK_M"
"L","MTK","G1","SD","BPN","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G1","SD","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G2","SD","PDG","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"L","MTK","G4","SRJN","PNS","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G4","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G3","SMP","LL","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G1","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G4","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"L","MTK","G3","SRJN","GRD","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMTA","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","MTK","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G4","SRJN","PNS","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"L","MTK","G2","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"L","MTK","G3","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","SMP","PDG","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","MTK","G3","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G5","SRJN","PS","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","SD","BPN","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G1","SMP","PDG","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G1","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"L","MTK","G1","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G2","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_SM","IPK_SM"
"L","MTK","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G2","SD","LL","PSN","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G2","SMP","BPN","BPN","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G2","SMP","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","MTK","G4","SMTA","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
"P","MTK","G3","SMTA","PS","PS","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_SM"
"P","MTK","G3","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_KM","IPK_SM"
"L","MTK","G2","SRJN","PDG","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G5","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_SM"
"P","MTK","G3","LL","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G1","SMTA","BPN","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G2","LL","PDG","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_SM"
"P","MTK","G2","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_SM","IPK_SM"
"P","MTK","G2","SD","BPN","BPN","SKS1_B","SKS2_B","IPS1_SM","IPS2_KM","IPK_SM"
"P","MTK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","MTK","G4","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","MTK","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G4","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G3","SRJN","PS","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G3","SMTA","PDG","BPN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","SMTA","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_SM"
"P","MTK","G4","SMTA","BPN","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G2","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","MTK","G3","SMTA","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","MTK","G2","SD","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_M"
"P","MTK","G4","SRJN","GRD","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","MTK","G4","SMTA","BPN","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_SM","IPK_SM"
